what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390770653940
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390770655488
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390770734837
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390770808081
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390770832817
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390770860915
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1390770864581
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390770888858
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390770888904
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390770889005
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390770913338
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390770913864
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390770914516
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390770917360
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390770923881
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390770979895
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390770983195
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390770988769
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390770990385
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390770991207
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771083577
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771227806
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771253257
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1390771261147
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771262830
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1390771263990
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1390771306442
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771309966
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1390771310721
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771314607
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771351879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771368733
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771423174
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771618776
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771685375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1390771687864
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771689375
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1390771689984
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771704372
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771704445
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771704706
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771707198
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771707495
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771707711
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1390771723301
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771725643
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1390771728248
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771731532
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771738676
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771746466
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771750173
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771753486
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771757938
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771760863
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771772962
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771774251
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771786598
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771831881
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771837136
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771837296
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771837580
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771839348
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771839587
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771839814
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771849317
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771850927
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771851628
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771864912
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1390771873226
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771875937
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771883258
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771885880
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771887262
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771888750
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771890989
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771908879
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771923508
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771925362
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771928565
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771938224
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771940840
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771942710
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771944396
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1390771959702
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771961591
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1390771970719
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771986309
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1390771986445
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771986598
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1390771993535
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1390771994633
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771996562
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390771999530
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1390772002087
